"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"127","1955_F3-Fe1-67_Racine_X200_09µm_square.jpg","1955_F3_Fe1_67_R_X200_09µm",1530753.3213752,"1955","67","F3","F","3","Fe1","Fe","1",0,"R"
"128","1956_F2-Ft1-64_Tige_X200_09µm_square.jpg","1956_F2_Ft1_64_T_X200_09µm",3826350.06716934,"1956","64","F2","F","2","Ft1","Ft","1",0,"T"
"129","1957_F2-Ft1-64_Racine_X200_09µm_square.jpg","1957_F2_Ft1_64_R_X200_09µm",2762620.40956005,"1957","64","F2","F","2","Ft1","Ft","1",0,"R"
"130","1958_F2-Fe1-61_Tige_X200_09µm_square.jpg","1958_F2_Fe1_61_T_X200_09µm",1235661.83122004,"1958","61","F2","F","2","Fe1","Fe","1",0,"T"
"131","1959_F2-Fe1-61_Racine_X200_09µm_square.jpg","1959_F2_Fe1_61_R_X200_09µm",1425439.15831485,"1959","61","F2","F","2","Fe1","Fe","1",0,"R"
"132","1960_F3-Fe2-68_Tige_X200_09µm_square.jpg","1960_F3_Fe2_68_T_X200_09µm",11695171.5916566,"1960","68","F3","F","3","Fe2","Fe","2",0,"T"
"133","1961_F3-Fe2-68_Racine_X200_09µm_square.jpg","1961_F3_Fe2_68_R_X200_09µm",8128996.99595478,"1961","68","F3","F","3","Fe2","Fe","2",0,"R"
"134","1962_F3-Ft3-72_Tige_X200_09µm_square.jpg","1962_F3_Ft3_72_T_X200_09µm",5016219.3207424,"1962","72","F3","F","3","Ft3","Ft","3",0,"T"
"135","1963_F3-Ft3-72_Racine_X200_09µm_square.jpg","1963_F3_Ft3_72_R_X200_09µm",1559343.55090308,"1963","72","F3","F","3","Ft3","Ft","3",0,"R"
"136","1964_P2-Fe1-79_Tige_X200_09µm_square.jpg","1964_P2_Fe1_79_T_X200_09µm",2113193.41888032,"1964","79","P2","P","2","Fe1","Fe","1",0,"T"
"137","1965_P2-Fe1-79_Racine_X200_09µm_square.jpg","1965_P2_Fe1_79_R_X200_09µm",1571717.55417856,"1965","79","P2","P","2","Fe1","Fe","1",0,"R"
"138","1966_P1-Ft1-76_Tige_X200_09µm_square.jpg","1966_P1_Ft1_76_T_X200_09µm",2024194.09425904,"1966","76","P1","P","1","Ft1","Ft","1",0,"T"
"139","1967_P1-Ft1-76_Racine_X200_09µm_square.jpg","1967_P1_Ft1_76_R_X200_09µm",1261019.77240707,"1967","76","P1","P","1","Ft1","Ft","1",0,"R"
"140","1968_t2-Ft3-36_Tige_X200_09µm_square.jpg","1968_t2_Ft3_36_T_X200_09µm",2193726.70466082,"1968","36","t2","T","2","Ft3","Ft","3",1,"T"
"141","1969_t2-Ft3-36_Racine_X200_09µm_square.jpg","1969_t2_Ft3_36_R_X200_09µm",1283521.61248388,"1969","36","t2","T","2","Ft3","Ft","3",1,"R"
