"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"175","22","T2","T",2,"Ho1","Ho",1,1,"T","2023",412.478153942756,167.536577039275,1453.38300849535,0.243494814370354,2.2060883583909
"176","22","T2","T",2,"Ho1","Ho",1,1,"T","2024",554.93328449584,150.851016393443,1127.755264755,0.170123027931347,1.34795680778688
"177","23","T2","T",2,"Ho2","Ho",2,1,"R","2021",NA,NA,NA,NA,NA
"178","23","T2","T",2,"Ho2","Ho",2,1,"R","2022",NA,NA,NA,NA,NA
"179","23","T2","T",2,"Ho2","Ho",2,1,"R","2023",NA,NA,NA,NA,NA
"180","23","T2","T",2,"Ho2","Ho",2,1,"R","2024",NA,NA,NA,NA,NA
"181","23","T2","T",2,"Ho2","Ho",2,1,"T","2021",118.781,96.2915142857143,972.776493237984,0.0936701215954324,0.381127410263059
"182","23","T2","T",2,"Ho2","Ho",2,1,"T","2022",164.325,99.0425466666667,1410.71487297843,0.139720793640327,0.584873398956855
"183","23","T2","T",2,"Ho2","Ho",2,1,"T","2023",237.328,91.2678051948052,1074.73638925152,0.0980888314099765,0.381980715404358
"184","23","T2","T",2,"Ho2","Ho",2,1,"T","2024",160.989,104.511078431373,1013.58464108572,0.105930823921344,0.498447626909572
"185","24","T2","T",2,"Ho3","Ho",3,1,"R","2021",NA,NA,NA,NA,NA
"186","24","T2","T",2,"Ho3","Ho",3,1,"R","2022",NA,NA,NA,NA,NA
"187","24","T2","T",2,"Ho3","Ho",3,1,"R","2023",NA,NA,NA,NA,NA
"188","24","T2","T",2,"Ho3","Ho",3,1,"R","2024",NA,NA,NA,NA,NA
"189","24","T2","T",2,"Ho3","Ho",3,1,"T","2021",NA,NA,NA,NA,NA
"190","24","T2","T",2,"Ho3","Ho",3,1,"T","2022",NA,NA,NA,NA,NA
"191","24","T2","T",2,"Ho3","Ho",3,1,"T","2023",NA,NA,NA,NA,NA
"192","24","T2","T",2,"Ho3","Ho",3,1,"T","2024",NA,NA,NA,NA,NA
"193","25","T2","T",2,"Fe1","Fe",1,0,"R","2021",NA,NA,NA,NA,NA
"194","25","T2","T",2,"Fe1","Fe",1,0,"R","2022",NA,NA,NA,NA,NA
"195","25","T2","T",2,"Fe1","Fe",1,0,"R","2023",NA,NA,NA,NA,NA
"196","25","T2","T",2,"Fe1","Fe",1,0,"R","2024",NA,NA,NA,NA,NA
"197","25","T2","T",2,"Fe1","Fe",1,0,"T","2021",78.815,164.473088235294,1131.76429998222,0.186144769572532,1.91997353083615
"198","25","T2","T",2,"Fe1","Fe",1,0,"T","2022",104.815,148.936596153846,1425.63142346601,0.21232869158099,1.91755749847075
"199","25","T2","T",2,"Fe1","Fe",1,0,"T","2023",78.787,202.9370625,1240.86871777988,0.25181825253439,2.81745746982785
"200","25","T2","T",2,"Fe1","Fe",1,0,"T","2024",57.156,200.234818181818,887.107726547041,0.177629854332833,1.88004630607969
"201","26","T2","T",2,"Fe2","Fe",2,0,"R","2021",113.513,284.81364516129,1026.13243341542,0.292256518779272,4.81220920101303
"202","26","T2","T",2,"Fe2","Fe",2,0,"R","2022",165.201,321.562703703704,582.270604680887,0.187236509928377,3.16442811269226
"203","26","T2","T",2,"Fe2","Fe",2,0,"R","2023",148.1,243.03876744186,761.726867654001,0.185129159041978,2.4858126730249
"204","26","T2","T",2,"Fe2","Fe",2,0,"R","2024",85.353,270.110095238095,653.965383070056,0.17664265190347,3.16245783492152
"205","26","T2","T",2,"Fe2","Fe",2,0,"T","2021",185.246,170.89241509434,1058.10621277507,0.180822326127456,1.56697051781436
"206","26","T2","T",2,"Fe2","Fe",2,0,"T","2022",211.996,155.939841269841,1130.52180224403,0.176293390394029,1.49611099722463
"207","26","T2","T",2,"Fe2","Fe",2,0,"T","2023",182.122,146.676536585366,888.274530930436,0.130289031733867,0.951490998470609
"208","26","T2","T",2,"Fe2","Fe",2,0,"T","2024",123.062,147.5938,1101.05784245637,0.162509310987937,1.21759785088241
"209","27","T2","T",2,"Fe3","Fe",3,0,"R","2021",141.858,202.326086956522,371.864053511893,0.0752377988268519,0.802917295222984
"210","27","T2","T",2,"Fe3","Fe",3,0,"R","2022",87.489,181.438066666667,375.869949825885,0.0681971170145055,0.636149166476016
"211","27","T2","T",2,"Fe3","Fe",3,0,"R","2023",114.222,183.357294117647,612.518415835329,0.112309719324794,1.10501491586152
"212","27","T2","T",2,"Fe3","Fe",3,0,"R","2024",86.293,194.874043478261,499.987944586009,0.0974346724518602,0.929687813750603
"213","27","T2","T",2,"Fe3","Fe",3,0,"T","2021",174.781,175.77947,981.184739391644,0.172472133462351,1.70638443000632
"214","27","T2","T",2,"Fe3","Fe",3,0,"T","2022",155.066,205.474620253165,855.939152943699,0.175873772410922,1.80594057271494
